"","lat","long","sand","clay","coarse","pH_in_H2O","LU","NPP","OC09","OC15","OC18","SOC09","uSOC09","SOC15","uSOC15","SOC18","uSOC18"
"6989","41.89705","0.305","28","21","5","8.28","CR","4.7255","14.3","14.7","16.6","3.83578780010615","0.383578780010615","3.92595775956553","0.392595775956553","4.34437865073842","0.392595775956553"
"6990","41.7875","0.29796","25","25","6","7.72","CR","6.529","15.9","12.9","13.3","4.14398068673887","0.414398068673887","3.47392032359979","0.347392032359979","3.56571646235156","0.347392032359979"
"6991","41.76007","0.20589","21","20","3","7.68","CR","3.971","5.2","6.4","8.1","1.56252275473607","0.156252275473607","1.89402817307574","0.189402817307574","2.34703515194211","0.189402817307574"
"6992","41.56311","0.23741","18","27","13","8.5","CR","3.653","10.5","10.3","12","2.76022512450873","0.276022512450873","2.71373627245836","0.271373627245836","3.10252571630961","0.271373627245836"
"6993","41.31235","0.27716","20","24","22","7.95","CR","6.6495","26.1","21.6","19","5.58838044141394","0.558838044141394","4.80461829741173","0.480461829741173","4.32631733006736","0.480461829741173"
"6994","41.93673","0.15309","35","27","14","7.67","CR","6.1475","17.1","17.7","20","4.23405849823447","0.423405849823447","4.35691665163819","0.43569166516382","4.81589794372615","0.43569166516382"
"6995","41.73982","0.18496","22","31","14","8","CR","6.0895","12.1","29.1","16.5","3.10782911343425","0.310782911343425","6.36236962368251","0.636236962368251","4.04670595494977","0.636236962368251"
"6996","42.07754","0.10584","65","9","6","7.75","CR",NA,"8.8","13","16.4","2.60392846636748","0.260392846636748","3.67370839611755","0.367370839611755","4.47524867449455","0.367370839611755"
"6997","41.70168","0.16694","5","35","7","7.77","CR","7.0935","21.3","21","24.2","5.0743727107819","0.50743727107819","5.01790643018599","0.501790643018599","5.60521774132645","0.501790643018599"
"6998","41.46889","0.20426","10","32","7","8.46","CR","2.71","13.4","8.2","10.5","3.49763276740535","0.349763276740535","2.27491769265151","0.227491769265151","2.83378772239492","0.227491769265151"
"6999","41.43308","0.20997","16","28","22","8.15","CR","3.417","12.6","19.1","14.4","3.03358345098427","0.303358345098427","4.31630910717217","0.431630910717217","3.40450163647946","0.431630910717217"
"7000","40.9852","0.2806","27","25","3","8.24","CR","5.4455","30.4","31.6","26.4","7.02998452012283","0.702998452012283","7.23600185941952","0.723600185941952","6.31904940249191","0.723600185941952"
"7001","42.09308","0.07894","20","21","1","7.97","CR","5.3205","8.7","15","6","2.52691071717171","0.252691071717171","4.04685340691682","0.404685340691682","1.80285352778418","0.404685340691682"
"7002","41.932","0.10535","13","30","7","7.87","CR","7.366","14","6.9","12.5","3.64606326632094","0.364606326632094","1.95312943494779","0.195312943494779","3.31073035613847","0.195312943494779"
